node_id,group_id
0,1
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,1
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,1
20,1
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,0
56,1
57,0
58,1
59,0
60,1
61,0
62,1
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,0
77,1
78,0
79,0
80,0
81,1
82,0
83,0
84,1
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,1
96,0
97,1
98,0
99,1
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,0
112,1
113,0
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,1
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,0
135,1
136,1
137,1
138,1
139,1
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,0
164,1
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,1
179,0
180,0
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,1
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,1
200,1
201,0
202,0
203,1
204,1
205,1
206,0
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,1
215,0
216,1
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,1
229,1
230,1
231,1
232,0
233,1
234,0
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,0
244,1
245,0
246,0
247,1
248,1
249,0
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,0
269,0
270,0
271,1
272,0
273,1
274,1
275,0
276,0
277,1
278,0
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,0
291,0
292,1
293,1
294,1
295,1
296,0
297,0
298,1
299,1
300,1
301,0
302,1
303,1
304,0
305,1
306,0
307,1
308,0
309,1
310,0
311,1
312,1
313,0
314,1
315,1
316,1
317,0
318,1
319,1
320,0
321,0
322,1
323,0
324,0
325,0
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,1
334,1
335,1
336,0
337,0
338,1
339,0
340,1
341,1
342,1
343,0
344,0
345,1
346,1
347,0
348,1
349,0
350,1
351,0
352,0
353,1
354,1
355,1
356,1
357,1
358,0
359,1
360,0
361,0
362,0
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,0
375,1
376,1
377,1
378,0
379,1
380,1
381,0
382,0
383,1
384,1
385,1
386,0
387,1
388,0
389,1
390,1
391,0
392,0
393,0
394,1
395,1
396,1
397,0
398,1
399,0
400,0
401,1
402,0
403,1
404,1
405,0
406,1
407,1
408,1
409,0
410,0
411,1
412,1
413,1
414,0
415,1
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,0
424,1
425,0
426,0
427,0
428,1
429,0
430,0
431,0
432,1
433,1
434,0
435,1
436,0
437,0
438,1
439,1
440,0
441,1
442,0
443,1
444,0
445,1
446,1
447,0
448,0
449,1
450,0
451,1
452,1
453,1
454,0
455,1
456,0
457,1
458,1
459,1
460,0
461,1
462,0
463,1
464,1
465,1
466,1
467,0
468,0
469,0
470,0
471,1
472,0
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,0
489,0
490,1
491,1
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,0
503,1
504,0
505,0
506,1
507,0
508,0
509,1
510,1
511,1
512,1
513,1
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,0
522,0
523,1
524,0
525,1
526,0
527,1
528,0
529,1
530,0
531,0
532,0
533,1
534,1
535,1
536,0
537,0
538,1
539,1
540,0
541,0
542,0
543,1
544,0
545,1
546,0
547,1
548,0
549,0
550,0
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,0
563,0
564,1
565,1
566,1
567,1
568,0
569,0
570,1
571,1
572,0
573,0
574,1
575,1
576,0
577,0
578,1
579,1
580,0
581,0
582,0
583,1
584,1
585,1
586,0
587,1
588,1
589,0
590,1
591,0
592,1
593,0
594,0
595,0
596,1
597,1
598,0
599,1
600,1
601,1
602,0
603,0
604,1
605,1
606,0
607,1
608,1
609,0
610,1
611,1
612,1
613,0
614,1
615,0
616,1
617,1
618,0
619,0
620,0
621,1
622,1
623,0
624,1
625,1
626,0
627,1
628,0
629,1
630,0
631,1
632,0
633,1
634,1
635,1
636,0
637,0
638,1
639,1
640,0
641,1
642,0
643,1
644,0
645,1
646,0
647,1
648,1
649,1
650,1
651,1
652,0
653,0
654,1
655,0
656,1
657,0
658,1
659,1
660,1
661,0
662,1
663,0
664,1
665,1
666,0
667,1
668,1
669,1
670,0
671,0
672,0
673,0
674,0
675,1
676,0
677,0
678,0
679,1
680,1
681,0
682,1
683,1
684,1
685,0
686,1
687,1
688,0
689,0
690,1
691,1
692,1
693,1
694,1
695,0
696,0
697,1
698,0
699,0
700,0
701,0
702,0
703,0
704,1
705,0
706,0
707,0
708,0
709,0
710,1
711,1
712,1
713,0
714,1
715,0
716,1
717,1
718,1
719,1
720,1
721,0
722,1
723,0
724,0
725,0
726,0
727,0
728,0
729,1
730,1
731,1
732,0
733,0
734,0
735,1
736,1
737,1
738,1
739,0
740,1
741,1
742,1
743,0
744,1
745,1
746,1
747,1
748,0
749,1
750,1
751,0
752,1
753,0
754,0
755,0
756,1
757,0
758,1
759,0
760,0
761,1
762,1
763,0
764,1
765,0
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,0
775,1
776,0
777,1
778,0
779,0
780,1
781,0
782,1
783,1
784,1
785,0
786,1
787,0
788,0
789,1
790,0
791,1
792,0
793,1
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,1
802,0
803,1
804,0
805,1
806,1
807,0
808,1
809,0
810,0
811,1
